City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
2,Rikitea,PF,75.34,-23.1203,-134.9692,overcast clouds,Pension Maro'i
5,Boke,GN,76.78,10.9409,-14.2967,broken clouds,Hôtel Rio Nunez - Boké
12,Port-Gentil,GA,80.6,-0.7193,8.7815,light intensity drizzle,Fengshui Residence
24,Luanda,AO,77.0,-8.8368,13.2343,broken clouds,LANDU MARINEZA LUFUANDU TONI
25,Hilo,US,86.29,19.7297,-155.09,broken clouds,Hilo Hawaiian Hotel
26,Atuona,PF,79.56,-9.8,-139.0333,clear sky,Villa Enata
30,Alofi,NU,82.29,-19.0595,-169.9187,light rain,Taloa Heights
33,Katsuura,JP,73.0,35.1333,140.3,broken clouds,Katsuura Hotel Mikazuki
34,Praia,CV,71.6,14.9215,-23.5087,clear sky,LT Aparthotel
36,Mareeba,AU,72.45,-17.0,145.4333,overcast clouds,Trinity Plains Tourist Park
39,Vaini,TO,71.76,-21.2,-175.2,light rain,Keleti Beach Resort
42,Kapaa,US,84.52,22.0752,-159.319,few clouds,Sheraton Kauai Coconut Beach Resort
43,Hasaki,JP,72.28,35.7333,140.8333,few clouds,Hotel Sunrise Choshi
50,Rio Verde De Mato Grosso,BR,75.51,-18.9181,-54.8442,overcast clouds,Hotel Valência
51,Arraial Do Cabo,BR,73.54,-22.9661,-42.0278,light rain,Pousada Porto Praia
52,Toppenish,US,86.07,46.3774,-120.3087,overcast clouds,Quality Inn & Suites Toppenish - Yakima Valley
57,Isangel,VU,75.31,-19.55,169.2667,broken clouds,Tanna Lodge
58,Blytheville,US,72.99,35.9273,-89.919,clear sky,Days Inn by Wyndham Blytheville
62,Touros,BR,77.9,-5.1989,-35.4608,broken clouds,INN NEW HORIZON
64,Naze,JP,76.12,28.3667,129.4833,overcast clouds,奄美ポートタワーホテル
67,Soto La Marina,MX,85.53,23.7667,-98.2167,broken clouds,Hotel Chicago
68,Ipixuna,BR,80.55,-1.7625,-48.8043,overcast clouds,Casa da Oscarina
75,Nurota,UZ,77.09,40.5614,65.6886,clear sky,Guest House Ruslan Nurata & Tours
77,Hithadhoo,MV,83.71,-0.6,73.0833,few clouds,Scoop Guest House
78,Shingu,JP,72.59,33.7333,135.9833,clear sky,Shingu UI Hotel
80,San Andres,CO,82.42,12.5847,-81.7006,few clouds,Hotel Arena Blanca
82,Victoria,HK,86.97,22.2855,114.1577,overcast clouds,Mini Hotel Central
86,Ligayan,PH,83.75,4.6533,119.4706,overcast clouds,
88,Shieli,KZ,79.88,44.1667,66.75,broken clouds,Gostinitsa Aybek Shieli
91,Diamantino,BR,75.31,-14.4086,-56.4461,overcast clouds,Hotel Delta
95,Gorontalo,ID,83.62,0.5412,123.0595,overcast clouds,Maqna Hotel by Prasanthi
98,Kavaratti,IN,82.56,10.5669,72.642,overcast clouds,Hotels in Lakshadweep Islands
100,Labuan,MY,82.4,5.2767,115.2417,few clouds,Tiara Labuan Hotel
105,Petatlan,MX,84.94,17.5167,-101.2667,scattered clouds,Hotel California Petatlán
107,San Patricio,US,82.4,28.017,-97.5169,broken clouds,"Motel 6 Sinton, TX"
108,Phan Thiet,VN,86.04,10.9333,108.1,clear sky,Hotel Saigon-PT
112,Ishigaki,JP,84.33,24.3448,124.1572,broken clouds,Hotel Peace Land Ishigakijima
116,Massakory,TD,89.94,12.996,15.7293,scattered clouds,
118,Cayenne,GF,80.1,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
132,Rincon,US,73.58,32.296,-81.2354,broken clouds,Days Inn Rincon
135,Avarua,CK,78.85,-21.2078,-159.775,scattered clouds,Paradise Inn
136,Portobelo,PA,82.0,9.55,-79.65,overcast clouds,Scuba Portobelo
137,Sibolga,ID,79.09,1.7427,98.7792,overcast clouds,Hotel Syariah CN Darussalam
138,Puerto Ayora,EC,74.55,-0.7393,-90.3518,few clouds,Finch Bay Galapagos Hotel
141,Poum,NC,72.32,-20.2333,164.0167,overcast clouds,Gîte kajeon
142,Sao Filipe,CV,72.41,14.8961,-24.4956,clear sky,Hotel Xaguate
144,Anqing,CN,81.21,30.5092,117.0506,overcast clouds,Hongtian Hotel
146,Jutai,BR,77.16,-5.1833,-68.9,overcast clouds,
147,Bengkulu,ID,77.04,-3.8004,102.2655,scattered clouds,Grage Hotel Bengkulu
150,Korla,CN,76.77,41.7597,86.1469,clear sky,Gulisitan Hotel
152,Boa Vista,BR,77.0,2.8197,-60.6733,broken clouds,Aipana Plaza Hotel
156,Cockburn Town,TC,80.56,21.4612,-71.1419,scattered clouds,Osprey Beach Hotel
157,Bambous Virieux,MU,72.21,-20.3428,57.7575,light rain,Casa Tia Villa
159,Lazaro Cardenas,MX,83.73,17.9583,-102.2,broken clouds,Hotel Quinta Antigua
160,La Concordia,NI,73.47,13.1953,-86.1667,few clouds,Parque de Ferias
161,San Angelo,US,82.4,31.4638,-100.437,clear sky,"Motel 6 San Angelo, TX"
162,Kalmunai,LK,80.19,7.4167,81.8167,overcast clouds,VS Villa
163,Ugoofaaru,MV,83.39,5.6667,73.0,overcast clouds,Ungoofaaru Inn
168,Ndele,CF,78.55,8.4109,20.6473,broken clouds,
169,Omboue,GA,76.14,-1.5746,9.2618,overcast clouds,Hotel Olako
173,Georgetown,MY,82.33,5.4112,100.3354,few clouds,Cititel Penang
174,Butaritari,KI,83.01,3.0707,172.7902,scattered clouds,Isles Sunset Lodge
175,Thinadhoo,MV,83.17,0.5333,72.9333,broken clouds,
186,Worland,US,75.67,44.0169,-107.9554,clear sky,Town House Motor Inn
187,Kpandae,GH,80.13,8.4689,-0.0113,overcast clouds,S. Amaski Guest House
189,Dingle,PH,85.42,10.9995,122.6711,scattered clouds,SEGAYA PROPERTY
191,Puerto Escondido,MX,81.43,15.85,-97.0667,overcast clouds,Aldea del Bazar Hotel and Spa
193,Lompoc,US,79.02,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
195,Saint-Georges,GD,80.6,12.0564,-61.7485,few clouds,Radisson Grenada Beach Resort
198,Idenao,CM,80.6,4.2475,9.0047,moderate rain,Moland Beach Resort
203,Bathsheba,BB,81.21,13.2167,-59.5167,few clouds,Atlantis Hotel
205,Faanui,PF,79.74,-16.4833,-151.75,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
208,Kupang,ID,81.18,-10.1667,123.5833,scattered clouds,Hotel On The Rock by Prasanthi
211,Trincomalee,LK,81.57,8.5711,81.2335,overcast clouds,Welcombe Hotel
