City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,60.39,1,9.22,clear sky
1,Ushuaia,AR,-54.8,-68.3,30.2,40,4.61,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,75.34,88,12.26,overcast clouds
3,Kurilsk,RU,45.2333,147.8833,37.74,99,18.3,overcast clouds
4,Nador,MA,35.174,-2.9287,66.2,75,6.91,broken clouds
5,Boke,GN,10.9409,-14.2967,76.78,72,3.02,broken clouds
6,Mount Gambier,AU,-37.8333,140.7667,46.31,57,9.22,broken clouds
7,Chicama,PE,-7.8447,-79.1469,66.2,90,10.36,overcast clouds
8,Bredasdorp,ZA,-34.5322,20.0403,47.52,85,4.7,overcast clouds
9,Iqaluit,CA,63.7506,-68.5145,38.93,90,3.0,overcast clouds
10,Bluff,NZ,-46.6,168.3333,49.8,100,21.63,overcast clouds
11,Aykino,RU,62.2248,49.9922,29.71,9,4.52,clear sky
12,Port-Gentil,GA,-0.7193,8.7815,80.6,90,13.8,light intensity drizzle
13,Mehamn,NO,71.0357,27.8492,42.15,100,23.0,overcast clouds
14,Hami,CN,42.8,93.45,69.12,0,9.28,clear sky
15,Qaanaaq,GL,77.484,-69.3632,29.57,100,0.6,overcast clouds
16,Mount Pleasant,US,32.7941,-79.8626,68.0,90,9.08,overcast clouds
17,Busselton,AU,-33.65,115.3333,53.1,89,12.88,overcast clouds
18,Lebu,CL,-37.6167,-73.65,53.8,100,10.36,overcast clouds
19,Dongsheng,CN,39.8161,109.9776,68.97,100,17.67,overcast clouds
20,Leshukonskoye,RU,64.8989,45.7622,34.92,74,5.35,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,33.91,75,6.71,broken clouds
22,Norman Wells,CA,65.282,-126.8329,57.2,75,17.27,broken clouds
23,Ribeira Grande,PT,38.5167,-28.7,64.0,81,6.35,broken clouds
24,Luanda,AO,-8.8368,13.2343,77.0,75,5.75,broken clouds
25,Hilo,US,19.7297,-155.09,86.29,75,16.11,broken clouds
26,Atuona,PF,-9.8,-139.0333,79.56,6,9.26,clear sky
27,Chupa,RU,66.27,33.0549,46.29,95,4.94,overcast clouds
28,Inhambane,MZ,-23.865,35.3833,69.82,43,11.45,scattered clouds
29,Talnakh,RU,69.4865,88.3972,35.26,100,11.12,moderate rain
30,Alofi,NU,-19.0595,-169.9187,82.29,74,8.05,light rain
31,Dauphin,CA,51.1494,-100.0502,59.14,1,9.22,clear sky
32,Westport,US,41.1415,-73.3579,51.62,90,1.01,light rain
33,Katsuura,JP,35.1333,140.3,73.0,75,4.61,broken clouds
34,Praia,CV,14.9215,-23.5087,71.6,0,8.05,clear sky
35,Baoqing,CN,46.3317,132.2111,60.96,94,0.81,overcast clouds
