City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Llanes,ES,2021-05-25 22:03:08,43.4198,-4.7549,53.87,78,83,1.83
1,Codrington,AU,2021-05-25 22:03:08,-38.2667,141.9667,52.47,61,96,21.47
2,Stephenville,US,2021-05-25 22:03:08,32.2207,-98.2023,86.09,68,1,5.75
3,Ushuaia,AR,2021-05-25 22:03:08,-54.8,-68.3,29.64,93,71,3.98
4,Hermanus,ZA,2021-05-25 22:01:20,-34.4187,19.2345,57.9,74,61,7.52
5,Puerto Ayora,EC,2021-05-25 22:03:09,-0.7393,-90.3518,76.55,88,35,8.01
6,Lebu,CL,2021-05-25 22:03:09,-37.6167,-73.65,55.56,87,92,2.48
7,Qaanaaq,GL,2021-05-25 22:03:09,77.484,-69.3632,32.9,77,3,5.19
8,Portland,US,2021-05-25 21:59:26,45.5234,-122.6762,65.44,86,69,4.79
9,Geraldton,AU,2021-05-25 22:03:10,-28.7667,114.6,50.41,76,68,14.2
10,Rikitea,PF,2021-05-25 22:03:10,-23.1203,-134.9692,76.95,79,55,11.27
11,Abu Kamal,SY,2021-05-25 22:03:10,34.4506,40.9171,84.13,25,3,20.04
12,Celendin,PE,2021-05-25 22:03:10,-6.8703,-78.1517,60.84,72,51,6.11
13,Dikson,RU,2021-05-25 22:03:11,73.5069,80.5464,19.18,95,75,6.31
14,Dovolnoye,RU,2021-05-25 22:03:11,54.4958,79.6671,65.25,79,5,5.82
15,Busselton,AU,2021-05-25 22:03:11,-33.65,115.3333,44.04,77,100,9.6
16,Kapaa,US,2021-05-25 22:03:12,22.0752,-159.319,83.48,68,1,1.99
17,Albany,US,2021-05-25 22:02:18,42.6001,-73.9662,80.73,59,99,6.82
18,Labuhan,ID,2021-05-25 22:02:25,-6.8844,112.2051,76.42,89,22,6.22
19,Hithadhoo,MV,2021-05-25 22:03:12,-0.6,73.0833,84.18,66,100,20.31
20,Ajdabiya,LY,2021-05-25 22:03:12,30.7554,20.2263,80.53,21,0,9.13
21,Shiyan,CN,2021-05-25 22:03:12,32.6475,110.7781,61.65,94,100,4.79
22,Sioux Lookout,CA,2021-05-25 21:58:44,50.1001,-91.917,75.58,38,40,19.57
23,Punta Arenas,CL,2021-05-25 22:03:02,-53.15,-70.9167,35.11,80,48,14.09
24,Acarau,BR,2021-05-25 22:03:13,-2.8856,-40.12,79.09,76,35,13.73
25,Tarija,BO,2021-05-25 22:00:54,-21.5355,-64.7296,57.74,64,82,3.29
26,Hobart,AU,2021-05-25 22:03:13,-42.8794,147.3294,50.22,82,0,3.0
27,Gasa,PS,2021-05-25 22:03:13,31.5,34.4667,72.91,71,0,2.08
28,Yellowknife,CA,2021-05-25 22:03:13,62.456,-114.3525,44.33,48,0,3.0
29,Yar-Sale,RU,2021-05-25 22:03:14,66.8333,70.8333,33.57,95,100,8.61
30,Avarua,CK,2021-05-25 22:03:14,-21.2078,-159.775,82.45,83,20,6.91
31,Tuktoyaktuk,CA,2021-05-25 22:03:14,69.4541,-133.0374,31.91,78,100,6.17
32,Srednekolymsk,RU,2021-05-25 22:03:14,67.45,153.6833,52.48,52,98,19.39
33,Piacabucu,BR,2021-05-25 22:03:15,-10.4056,-36.4344,76.75,81,21,7.25
34,Ancud,CL,2021-05-25 21:58:32,-41.8697,-73.8203,49.42,96,100,17.96
35,Pointe-Noire,CG,2021-05-25 22:03:15,-4.7761,11.8635,79.11,87,74,6.46
36,Severo-Kurilsk,RU,2021-05-25 22:03:15,50.6789,156.125,37.45,97,100,15.57
37,Tasiilaq,GL,2021-05-25 22:03:15,65.6145,-37.6368,37.56,89,100,46.57
38,Cape Town,ZA,2021-05-25 22:00:49,-33.9258,18.4232,58.12,83,40,4.61
39,Port Hardy,CA,2021-05-25 22:00:04,50.6996,-127.4199,52.7,74,96,9.91
40,Maniitsoq,GL,2021-05-25 22:00:40,65.4167,-52.9,31.73,71,16,10.42
41,Leningradskiy,RU,2021-05-25 22:03:16,69.3833,178.4167,34.57,89,85,9.62
42,Thompson,CA,2021-05-25 22:00:32,55.7435,-97.8558,35.83,78,100,15.61
43,Teguise,ES,2021-05-25 22:03:16,29.0605,-13.564,62.82,68,75,22.79
44,Vaini,TO,2021-05-25 22:03:16,-21.2,-175.2,69.96,94,90,4.61
45,Sola,VU,2021-05-25 22:03:17,-13.8833,167.55,77.95,60,95,16.69
46,Bredasdorp,ZA,2021-05-25 22:03:17,-34.5322,20.0403,53.85,78,86,5.53
47,Eregli,TR,2021-05-25 22:03:17,37.5133,34.0467,62.22,35,0,2.44
48,Kayanga,TZ,2021-05-25 22:03:17,-1.5303,31.1511,58.35,85,18,3.38
49,Russell,US,2021-05-25 21:59:11,32.3502,-85.1999,91.96,42,79,9.17
50,Butaritari,KI,2021-05-25 22:03:18,3.0707,172.7902,81.84,80,100,18.3
51,Cockburn Town,TC,2021-05-25 22:03:18,21.4612,-71.1419,80.56,69,40,13.8
52,Hargeysa,SO,2021-05-25 22:03:18,9.56,44.065,70.05,63,8,19.37
53,Goderich,CA,2021-05-25 22:01:29,43.7501,-81.7165,68.76,71,58,13.2
54,Kirovskiy,RU,2021-05-25 22:03:19,45.0917,133.5136,51.24,66,18,7.0
55,Mount Gambier,AU,2021-05-25 22:03:19,-37.8333,140.7667,52.21,56,100,13.35
56,Mataura,NZ,2021-05-25 22:03:19,-46.1927,168.8643,38.57,58,90,2.8
57,Keti Bandar,PK,2021-05-25 22:03:19,24.1447,67.4497,83.77,80,36,18.52
58,Stepnyak,KZ,2021-05-25 22:03:20,52.8339,70.7803,74.19,31,59,7.72
59,Xichang,CN,2021-05-25 22:03:20,27.8964,102.2634,63.48,86,77,2.66
60,Horta,PT,2021-05-25 22:03:20,38.5333,-28.6333,63.73,92,100,17.56
61,Umm Lajj,SA,2021-05-25 22:03:20,25.0213,37.2685,85.98,40,0,8.16
62,Vardo,NO,2021-05-25 22:03:21,70.3705,31.1107,34.0,68,49,7.2
63,Seoul,KR,2021-05-25 22:00:13,37.5683,126.9778,56.64,68,100,4.43
64,Bluff,NZ,2021-05-25 22:03:21,-46.6,168.3333,41.14,63,62,6.67
65,Taganak,PH,2021-05-25 22:03:21,6.0833,118.3,82.0,77,66,4.7
66,Buala,SB,2021-05-25 22:03:22,-8.145,159.5921,81.1,82,99,13.22
